iluwatar@java-design-patterns,1fdc65054598638e94e2a351873c7e63e95ed4fc,t,obj,T,com\iluwatar\monad\Validator
iluwatar@java-design-patterns,c954a436ad3836d5991b27e6bd207aa668538d04,x,coordinateX,int,com\iluwatar\spatialpartition\Point
iluwatar@java-design-patterns,c954a436ad3836d5991b27e6bd207aa668538d04,y,coordinateY,int,com\iluwatar\spatialpartition\Point
iluwatar@java-design-patterns,dda09535e657ef6b4e2fde8f0c72e1f93b1429ac,n,numberOfElements,long,com\iluwatar\halfsynchalfasync\App
iluwatar@java-design-patterns,7dc47da131a423f8a4f601d7f4db4fb8e01aef17,c,character,char,com\iluwatar\composite\Letter
iluwatar@java-design-patterns,4446e74338c80d452ed9f516ffa656f7f3ad9dd9,SERVICE_BANK_ACCOUNT_SALDO,SERVICE_BANK_ACCOUNT_BALANCE,int,com\iluwatar\hexagonal\domain\LotteryConstants
iluwatar@java-design-patterns,b7dbb4049c853ba66a5262831100aca0cabc9935,publisher,director,String,com\iluwatar\partialresponse\Video
iluwatar@java-design-patterns,b7dbb4049c853ba66a5262831100aca0cabc9935,status,language,String,com\iluwatar\partialresponse\Video
iluwatar@java-design-patterns,c6354c48bb0f62c3030d63a824812173263adac9,domainEventProcessor,eventProcessor,DomainEventProcessor,IntegrationTest
iluwatar@java-design-patterns,fbf5ffe67a63ddb43f003efeb6a1fc81bdf05ee0,BATTLESHIP_BEAN,FISHING_BEAN,String,com\iluwatar\adapter\AdapterPatternTest
iluwatar@java-design-patterns,fbf5ffe67a63ddb43f003efeb6a1fc81bdf05ee0,CAPTAIN_BEAN,ROWING_BEAN,String,com\iluwatar\adapter\AdapterPatternTest
iluwatar@java-design-patterns,64824d65aa9df0928d67e31bc7e2e0290c989ad9,replica,realTime,boolean,com\iluwatar\event\sourcing\api\DomainEvent
iluwatar@java-design-patterns,c6b6c8123fb1add1f469cf8d572375309fcdb48c,order,orderItem,String,com\iluwatar\intercepting\filter\Order
iluwatar@java-design-patterns,e8b634c33e03f57af5e87364a55d898a32518216,name,lastName,String,com\iluwatar\converter\User
iluwatar@java-design-patterns,e8b634c33e03f57af5e87364a55d898a32518216,surname,firstName,String,com\iluwatar\converter\User
